name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
"two-row stonecrop, Caucasian stonecrop",Moderate,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Summer dry,0.2,0.6,"Green, Red, variegated cvs. are common","Green, Red, Bronze","Showy, White, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FCD130>
autumn stonecrop,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),Low,0.4,0.6,"Green, Green-yellow",,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507D97F0>
three-leaved stonecrop,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry, Winter dry",0.4,0.6,"Purple, Red","Purple, Red","Showy, Pink, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FCDF70>
"clubmoss, Irish moss, spike moss",,"Deep shade, Filtered shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate,0.2,1.0,,,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506AE8B0>
"hens and chicks hybrid, houseleek",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry, Winter dry",0.2,0.6,"Green, Red, Dark-red","Green, Red, Dark-red","Showy, White, Yellow, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E7D0A0>
cobweb houseleek,Slow,"Full sun, Sheltered","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry",0.1,0.3,"Green, Purple","Purple, Red","Showy, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507C1CA0>
"roof houseleek, hens and chicks",,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Low,0.2,0.6,"Bluish, Green",,"Showy, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506E5220>
"string-of-pearls , string-of-beads",,,Well-drained,Zone 10: (-1 to 4 C),Low,0.1,0.6,,,"Not showy, White, (White with red stamens and yellow anthers.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502819A0>
groundsel,Fast,Full sun,,Zone 6: (-23 to -18 C),,0.4,0.3,,Yellow,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506AE9D0>
coast redwood,Moderate,Full sun,"Acidic, Well-drained",Zone 8a: (-12 to -9.5 C),High,30,25,,Green,"No flowers, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5025B4F0>
weeping Sierra redwood,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,22,1.0,,Green,"No flowers, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A10850>
Sierra redwood,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,30,25,,Green,"No flowers, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D089D0>
"buffaloberry, soapberry",Moderate,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),,2.0,2.0,,Yellow,"Not showy, Yellow, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507FA040>
"zig-zag bamboo, ruscus-leaved bamboo",Moderate,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,2.0,1.0,,Green-yellow,,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E4B190>
"checkerbloom, prairie mallow",Fast,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate,1.3,0.6,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50019DF0>
rose campion,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low,0.7,0.6,,Silver / Grayish,"Showy, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50058E80>
florest's gloxinia,Slow,,,Zone 11: (above 4 C),,0.4,0.6,"Green, Dark-green",,"White, Blue, Pink, Purple, Red, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A07C10>
blue-eyed grass,Moderate,"Full sun, Part sun/part shade",Bog,Zone 3: (-40 to -34 C),Wetlands,0.4,0.3,,Green,"Showy, Violet, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506F3A60>
Japanese skimmia,Slow,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),High,1.3,1.5,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DD06A0>
Reeves Japanese skimmia,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 7: (-18 to -12 C),Moderate,1.3,1.0,"Green, Green-yellow","Green, Green-yellow","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5038CCA0>
"deadly nightshade , European bittersweet",Moderate,Full sun,,Zone 4: (-34 to -29 C),Low,3,1.5,,Yellow,"Showy, Violet, Blue, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5067F6D0>
potato vine,Fast,Full sun,,Zone 10: (-1 to 4 C),,7,0.6,,,"Showy, White, (yellow anthers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502C2370>
tomato,,Full sun,,Zone 2: (-46 to -40 C),High,3,2.0,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DD01C0>
garden huckleberry,Fast,Part sun/part shade,,Zone 10: (-1 to 4 C),,0.7,1.5,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5192DC10>
eggplant,,,,Zone 9: (-7 to -1 C),Moderate,3,,,,Violet,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507AEA60>
"Jerusalem cherry, Christmas cherry",,,,Zone 9: (-7 to -1 C),Moderate,0.7,0.6,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50660AF0>
potato,Fast,,,Zone 8a: (-12 to -9.5 C),,0.4,0.6,,,"Showy, White, Blue, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51996EB0>
baby's tears,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate,0.2,0.3,,,"Not showy, Green, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C95EE0>
goldenrod,Fast,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Low,0.7,0.6,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519C9100>
"Golden Baby goldenrod, hybrid goldenrod",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.7,0.6,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5031F6A0>
fireworks goldenrod,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low,2.0,1.0,,Dark-green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5205EF40>
annual sow thistle,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,1.3,0.6,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5190A400>
false spiraea,Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 2: (-46 to -40 C),,3,3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AA72E0>
American mountain ash,Moderate,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),Wetlands,10,10,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C0FE50>
common whitebeam,Moderate,Full sun,Rocky or gravelly or dry,Zone 5: (-29 to -23 C),Wetlands,15,10,"Green, Silver / Grayish, Fall colour is yellow or red.","Brown, Yellow","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B95A60>
European mountain ash,Moderate,Full sun,"Acidic, Well-drained",Zone 3: (-40 to -34 C),"Low, Moderate",15,7,,"Yellow, Orange","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B2D820>
"showy mountain ash, northern mountain ash",Moderate,Full sun,"Acidic, Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate,10,5,,"Orange, Yellow","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51C0F220>
Pink Pagoda mountain ash,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),,7,5,"Bluish, Green","Green, Purple, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AC9850>
western mountain ash,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 2: (-46 to -40 C),"Low, Moderate",5,3,,"Orange, Yellow","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52144A60>
peace lily,Moderate,,Well-drained,Zone 11: (above 4 C),Moderate,0.7,0.6,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F0C940>
peace lily,Moderate,,Well-drained,Zone 11: (above 4 C),Moderate,0.7,0.6,,Dark-green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50796100>
Dart's red spirea,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,1.3,1.5,,Yellow,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503D73A0>
bridal wreath spirea,Moderate,,Well-drained,Zone 4: (-34 to -29 C),Moderate,3,3,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519277C0>
hardhack,Fast,Full sun,"Acidic, Bog",Zone 5: (-29 to -23 C),Wetlands,2.0,3,,Yellow,"Showy, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5025BB80>
Goldflame spirea,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,1.3,1.5,"Green, Green-yellow, Yellow, Red, Bronze, leaves bronze-red when young","Yellow, Orange, Red","Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F2E2B0>
Japanese spirea,Moderate,"Full sun, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),"Summer dry, Wetlands",2.0,1.5,"Dark-green, Yellow, Orange, Red, Brown, depends on cv. and time of year","Yellow, Orange, Red","Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C0F280>
Anthony Waterer spirea,,Full sun,Well-drained,Zone 4: (-34 to -29 C),,1.3,2.0,,Yellow,"Pink, (dark pink)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B9EAC0>
Goldmound spirea,,Full sun,Well-drained,Zone 5: (-29 to -23 C),,1.3,1.5,,Green-yellow,Pink,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x932 at 0x7FBF52188D00>
Little Princess spirea,,Full sun,Well-drained,Zone 4: (-34 to -29 C),,1.3,1.0,,Yellow,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5060B220>
snowmound spirea,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),Low,1.3,1.5,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x1050 at 0x7FBF51A9D820>
"Thunberg spirea, baby's breath spirea",Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),,2.0,2.0,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51ABADF0>
three lobe spirea,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,1.3,1.5,,"Brown, Yellow","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AA7910>
Goldflame spirea,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,1.3,1.5,"Green-yellow, Red, Green, Yellow, Bronze, leaves bronze-red when young","Orange, Red, Yellow","Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CA6EB0>
"woolly betony, giant lamb's ears",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry, Winter dry",0.4,1.0,,Silver / Grayish,"Showy, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC2190>
alpine betony,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low,0.7,0.6,,Green,"Showy, Violet, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503D5FD0>
chickweed,Moderate,Part sun/part shade,Humus rich,Zone 8b: (-9.4 to -7 C),Moderate,0.1,0.3,,Green,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF502EF9A0>
"stevia, sweetleaf",Fast,Full sun,,Zone 9: (-7 to -1 C),,0.7,0.6,,Green-yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC24F0>
Japanese stewartia,Moderate,"Filtered shade, Full sun","Humus rich, Well-drained",Zone 5: (-29 to -23 C),,22,10,,"Yellow, Orange, Red","Showy, White, Yellow, (white petals, yellow center)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50371610>
Chinese stewartia,Slow,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,22,10,,"Yellow, Orange, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506AB4C0>
giant feather grass,Fast,Full sun,Rocky or gravelly or dry,Zone 6: (-23 to -18 C),"Summer dry, Winter dry",3,1.5,,Yellow,"Showy, Purple, Bronze",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A84550>
Stoke's aster,Fast,"Full sun, Part sun/part shade, Sheltered","Acidic, Well-drained",Zone 5: (-29 to -23 C),,0.7,0.6,,,"White, Violet, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF507F2790>
bird of paradise,,,Well-drained,Zone 9: (-7 to -1 C),Low,2.0,1.0,,,"Showy, Blue, Orange, (3 commonly blue petals, 2 fused together as a 'tongue'; orange sepals)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x937 at 0x7FBF5196CE80>
cape primrose,,Filtered shade,,Zone 9: (-7 to -1 C),Moderate,0.2,0.3,,,"White, Violet, Blue, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BB2880>
"bavarian belles, false African violet, cape primrose",Fast,"Deep shade, Filtered shade, Part sun/part shade",,Zone 9: (-7 to -1 C),,0.4,0.6,,,"Showy, Blue, Violet, Pink, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF506E8C10>
Persian shield,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),,1.3,1.0,"Dark-green, Pink, Purple, Dark-red, Silver / Grayish",,"Showy, Violet, Blue, (pale blue)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B79A90>
"Japanese snowbell, Japanese snowcone",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,7,7,,Yellow,"Showy, White, Pink, (Only Styrax japonicus ‘Pink Chimes’ has pink flowers.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507FF1F0>
fragrant styrax,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,10,7,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503AA1F0>
bacopa,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate,0.2,1.5,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507FFF40>
Chenault coralberry,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low,2.0,2.0,,"Green, Yellow, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51998B20>
snowberry,Fast,Part sun/part shade,Well-drained,Zone 3: (-40 to -34 C),Moderate,2.0,1.5,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E5A0D0>
"bushy aster, rice button aster",Fast,Full sun,,Zone 4: (-34 to -29 C),,0.7,0.6,,,"Showy, Blue, Purple, White, Pink, (disk flowers are yellow)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503AA910>
calico aster,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.0,"Green, Purple, Nearly Black","Purple, Dark-red","Showy, Pink, White, (Ray florets white, disk florets raspberry-red)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D08FA0>
"Michaelmas daisy , aster",Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.0,"Nearly Black, Purple, Green","Dark-red, Purple","Showy, Pink, White, Purple, Blue, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5008FE80>
"daisy , Douglas' aster",Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.0,"Nearly Black, Purple, Green, Silver / Grayish","Dark-red, Purple","Showy, Violet, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004CB20>
"arrowhead vine, nephthytis",,,,Zone 10: (-1 to 4 C),Moderate,0.7,0.6,,,"Not showy, White, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CEA400>
"Meyer lilac, dwarf Korean lilac",,Full sun,"Humus rich, Well-drained",Zone 3: (-40 to -34 C),,1.3,1.5,,Yellow,"Showy, Violet, Blue, Pink, Purple, (lavender-pink)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506D5CD0>
Ivory Silk Japanese tree lilac,Moderate,Full sun,Alkaline,Zone 3: (-40 to -34 C),Moderate,7,5,,Green,"Showy, White, (cream)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B79D30>
common lilac,Moderate,Full sun,Alkaline,Zone 2: (-46 to -40 C),Moderate,7,5,,Yellow,"Showy, Violet, (lilac to mauve, varies with cv. (e.g. white))",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500717F0>
African marigold,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate,0.7,0.6,,Green,"Showy, Yellow, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DFD520>
French marigold,Slow,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate,0.2,0.3,,Green,"Showy, Yellow, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5198BC70>
"tamarisk, salt cedar",Fast,Full sun,,Zone 3: (-40 to -34 C),,5,3,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51940370>
feverfew,Fast,Full sun,,Zone 5: (-29 to -23 C),,0.7,0.6,,Yellow,"Showy, Yellow, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50661130>
common tansy,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low,2.0,0.3,,"Yellow, Brown","Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E3DE50>
dandelion,Moderate,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Low,0.2,0.3,,Green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BB7880>
"bald cypress, pond cypress",Moderate,"Full sun only if soil kept moist, Part sun/part shade","Acidic, Bog, Well-drained",Zone 5: (-29 to -23 C),Wetlands,30,7,,Bronze,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50661C70>
"yew, dense yew",,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),,7,3,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502EB490>
dwarf English yew,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,0.7,2.0,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5037E250>
English yew,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),Summer dry,15,10,,,"No flowers, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B83820>
Irish yew,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate,10,3,,Green,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5068AD00>
"Pacific yew, western yew",Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,22,7,"Green, Green-yellow, pale underneath",,"No flowers, Brown, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AFFF40>
fringecup,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),"Low, Wetlands",0.7,0.6,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F6340>
wall germander,Moderate,Full sun,,Zone 5: (-29 to -23 C),,0.7,0.3,,Dark-green,"Purple, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DB8100>
meadow rue,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),,1.3,0.6,"Green, Bluish",Yellow,"Showy, Violet, White, Red, Pink, Yellow, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BE03D0>
